"項目"	"国民経済計算  :日本:経済・産業統計/報告"	"科学技術研究調査  :日本:学術統計"	"科学研究費補助金　配分結果  :日本:補助金情報"	"科学技術システムの意識定点調査  :日本:経済・産業統計/報告"	"全国イノベーション調査  :日本:経済・産業統計/報告"	"J-GLOBAL  :日本:学術総合"	"researchmap  :日本:学術総合"	"外国人留学生在籍状況調査  :日本:学生支援"	"大学ポートレート  :日本:大学情報"	"大学基本情報  :日本:大学情報"	"CiNii Articles  :日本:学術論文"	"KAKEN  :日本:補助金情報"	"厚生労働科学研究成果データベース  :日本:学術総合"	"賃金構造基本統計調査  :日本:経済・産業統計/報告"	"品種登録／出願公表データ  :日本:特許等"	"経済産業省企業活動基本調査  :日本:経済・産業統計/報告"	"JIPデータベース  :日本:経済・産業統計/報告"	"成果報告書データベース  :日本:学術総合"	"知的財産活動調査  :日本:特許等"	"特許プラットフォーム  :日本:特許等"	"IIPパテントデータベース  :日本:特許等"	"指標情報データベース  :日本:学術総合"	"Orbis  :世界:経済・産業統計/報告"	"Main Science and Technology Indicators  :世界:経済・産業統計/報告"	"Research and Development Statistics  :世界:経済・産業統計/報告"	"WIPO IP Statistics Data Center  :世界:特許等"	"World Bank Open Data  :世界:経済・産業統計/報告"	"Espacenet  :欧州:特許等"	"Eurostat  :欧州:経済・産業統計/報告"	"eSearch plus  :欧州:特許等"	"publicdata.eu  :欧州:医療健康"	"RISIS Datasets  :欧州:学術総合"	"Data.gov.uk  :英国:学術総合"	"Science, engineering and technology Statistics  :英国:学術総合"	"UNISTATS  :英国:大学情報"	"Finances of Higher Education Providers  :英国:教育・学校統計/報告"	"ONS Gross Domestic Expenditure  :英国:経済・産業統計/報告"	"英国特許庁データベース  :英国:特許等"	"CWTS Leiden Ranking  :蘭国:学術統計"	"University-Industry Research Connections  :蘭国:その他"	"ライデン声明  :蘭国:その他"	"Bundesbericht Forschung und Innovation  :独国:教育・学校統計/報告"	"Daten Potal  :独国:教育・学校統計/報告"	"Förderatlas 2015  :独国:補助金情報"	"ドイツ特許庁　特許検索データベース  :独国:特許等"	"Ausgaben, Einnahmen und Personal  :独国:経済・産業統計/報告"	"Evaluation Procedures  :仏国:教育・学校統計/報告"	"data.gouv.fr  :仏国:学術総合"	"Bases de données gratuites  :仏国:経済・産業統計/報告"	"Statistiques structurelles  :仏国:経済・産業統計/報告"	"Repères et références statistiques  :仏国:教育・学校統計/報告"	"Data.gov  :米国:学術総合"	"National Bureau of Economic Research  :米国:経済・産業統計/報告"	"Academic Institution Profiles  :米国:学術総合"	"WebCASPAR  :米国:学術総合"	"Science and Engineering Indicators  :米国:学術統計"	"FedScope-Federal Human Resources Data  :米国:経済・産業統計/報告"	"米国特許検索データベース  :米国:特許等"	"サンフランシスコ宣言  :米国:その他"
"**サジェスト"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0
"2.ベストファースト = O:ソート"	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
"* 関連度"	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0
"* 人気度"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"* 日付"	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0
"* フォーマット（ソースの）"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"* 多様性（多様性(表現の多様性の吸収など)アルゴリズム）"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"**スコア"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"**エンジン（マルチエンジン）"	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0
"4. ファセット型ナビ = ファセット型ナビ"	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0
"L:ビルダー形式GUI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"5.詳細検索 = K:詳細検索"	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0
"J:検索box"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"X:login機能"	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"**適合性のチューニング"	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0
"7.ページネーション = ページネーション"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1
"Q:全件表示"	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1
"**ハイライト"	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1
"**クラスタリング"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"V:データプロット"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"U:マップ"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"S:サムネイル"	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"W:ロケータ/スライダ等、GUIによる指定"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"N:検索結果リファイン"	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0
"**レコメン"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
"**トピック"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
"11. NISTEPサービスにあるが本書にない項目（空項目）"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"R:バリアフリー"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P:ダウンロード"	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
"M:検索対象のタイプ"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"T:ダウンロードのデータ形式"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0
"Z1:API"	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
